日期,收盤,開盤,最高,最低,成交量
1994/9/1, NT$7.40 , NT$4.15 , NT$7.66 , NT$4.15 ,"89,896,000"
1994/10/1, NT$6.88 , NT$7.44 , NT$7.66 , NT$6.66 ,"73,410,000"
1994/11/1, NT$6.88 , NT$7.05 , NT$7.05 , NT$6.75 ,"23,246,000"
1994/12/1, NT$6.75 , NT$6.88 , NT$7.27 , NT$6.66 ,"33,642,000"
1995/1/1, NT$6.10 , NT$6.79 , NT$6.84 , NT$5.88 ,"27,029,000"
1995/2/1, NT$6.71 , NT$6.19 , NT$7.01 , NT$6.14 ,"25,704,000"
1995/3/1, NT$8.13 , NT$6.62 , NT$8.18 , NT$6.40 ,"58,693,000"
1995/4/1, NT$7.53 , NT$8.09 , NT$8.31 , NT$7.27 ,"60,736,000"
1995/5/1, NT$8.09 , NT$7.53 , NT$8.22 , NT$7.10 ,"62,916,000"
1995/6/1, NT$9.77 , NT$8.13 , NT$9.81 , NT$7.59 ,"194,581,000"
1995/7/1, NT$8.02 , NT$9.58 , NT$9.62 , NT$7.55 ,"182,556,000"
1995/8/1, NT$8.22 , NT$8.02 , NT$8.57 , NT$7.32 ,"155,432,000"
1995/9/1, NT$7.67 , NT$8.26 , NT$8.96 , NT$7.67 ,"88,446,000"
1995/10/1, NT$6.54 , NT$7.59 , NT$7.71 , NT$6.54 ,"66,567,000"
1995/11/1, NT$6.46 , NT$6.54 , NT$6.93 , NT$6.00 ,"56,648,000"
1995/12/1, NT$6.66 , NT$6.50 , NT$6.74 , NT$6.31 ,"51,343,000"
1996/1/1, NT$5.96 , NT$6.70 , NT$6.70 , NT$5.76 ,"51,040,000"
1996/2/1, NT$6.04 , NT$6.00 , NT$6.43 , NT$5.80 ,"55,153,000"
1996/3/1, NT$5.84 , NT$6.07 , NT$6.19 , NT$4.98 ,"92,009,000"
1996/4/1, NT$8.02 , NT$5.84 , NT$8.26 , NT$5.80 ,"247,258,000"
1996/5/1, NT$7.92 , NT$8.18 , NT$9.39 , NT$7.83 ,"309,410,000"
1996/6/1, NT$8.06 , NT$7.92 , NT$9.18 , NT$7.71 ,"219,863,000"
1996/7/1, NT$7.08 , NT$8.13 , NT$8.20 , NT$6.88 ,"241,116,000"
1996/8/1, NT$7.78 , NT$7.15 , NT$7.92 , NT$7.08 ,"159,854,000"
1996/9/1, NT$7.50 , NT$7.71 , NT$7.99 , NT$7.29 ,"220,150,000"
1996/10/1, NT$7.43 , NT$7.50 , NT$7.85 , NT$7.29 ,"126,310,000"
1996/11/1, NT$8.13 , NT$7.57 , NT$8.76 , NT$7.57 ,"366,448,000"
1996/12/1, NT$7.92 , NT$8.27 , NT$8.55 , NT$7.85 ,"127,384,000"
1997/1/1, NT$7.92 , NT$7.78 , NT$8.27 , NT$7.78 ,"160,577,000"
1997/2/1, NT$8.76 , NT$8.13 , NT$8.97 , NT$8.06 ,"339,126,000"
1997/3/1, NT$9.88 , NT$8.69 , NT$10.02 , NT$8.69 ,"597,749,000"
1997/4/1, NT$13.18 , NT$9.95 , NT$13.74 , NT$9.81 ,"988,574,000"
1997/5/1, NT$16.75 , NT$13.25 , NT$17.10 , NT$12.34 ,"1,343,224,000"
1997/6/1, NT$25.97 , NT$16.82 , NT$27.34 , NT$16.68 ,"1,285,502,000"
1997/7/1, NT$32.59 , NT$25.65 , NT$33.43 , NT$23.76 ,"1,670,049,000"
1997/8/1, NT$32.80 , NT$32.17 , NT$36.38 , NT$29.02 ,"1,144,843,000"
1997/9/1, NT$28.81 , NT$34.06 , NT$34.27 , NT$27.13 ,"972,345,000"
1997/10/1, NT$20.50 , NT$29.02 , NT$33.01 , NT$19.77 ,"1,348,451,000"
1997/11/1, NT$25.23 , NT$21.03 , NT$27.76 , NT$21.03 ,"1,168,811,000"
1997/12/1, NT$23.55 , NT$23.76 , NT$27.55 , NT$22.29 ,"765,174,000"
1998/1/1, NT$24.71 , NT$23.97 , NT$25.23 , NT$21.03 ,"356,969,000"
1998/2/1, NT$35.12 , NT$26.39 , NT$36.38 , NT$26.39 ,"1,578,341,000"
1998/3/1, NT$34.06 , NT$35.33 , NT$35.54 , NT$30.07 ,"873,281,000"
1998/4/1, NT$29.96 , NT$34.49 , NT$34.49 , NT$29.02 ,"546,518,000"
1998/5/1, NT$25.55 , NT$29.96 , NT$30.91 , NT$25.44 ,"450,636,000"
1998/6/1, NT$21.65 , NT$25.13 , NT$25.76 , NT$20.29 ,"827,647,000"
1998/7/1, NT$23.78 , NT$21.95 , NT$24.70 , NT$21.50 ,"657,504,000"
1998/8/1, NT$18.75 , NT$24.09 , NT$24.09 , NT$18.75 ,"508,216,000"
1998/9/1, NT$20.12 , NT$17.99 , NT$20.73 , NT$17.23 ,"513,764,000"
1998/10/1, NT$19.97 , NT$19.82 , NT$19.97 , NT$17.84 ,"263,238,000"
1998/11/1, NT$23.93 , NT$20.89 , NT$25.61 , NT$19.51 ,"848,103,000"
1998/12/1, NT$21.65 , NT$23.48 , NT$25.46 , NT$20.73 ,"478,331,000"
1999/1/1, NT$25.76 , NT$21.65 , NT$27.14 , NT$20.73 ,"923,423,000"
1999/2/1, NT$26.98 , NT$25.15 , NT$27.29 , NT$23.63 ,"375,136,000"
1999/3/1, NT$31.71 , NT$26.83 , NT$33.84 , NT$25.61 ,"865,942,000"
1999/4/1, NT$33.69 , NT$31.71 , NT$36.89 , NT$31.56 ,"814,553,000"
1999/5/1, NT$35.67 , NT$33.69 , NT$37.50 , NT$31.10 ,"707,080,000"
1999/6/1, NT$46.32 , NT$35.52 , NT$49.32 , NT$35.06 ,"1,256,313,000"
1999/7/1, NT$42.38 , NT$46.50 , NT$48.19 , NT$40.13 ,"805,051,000"
1999/8/1, NT$50.63 , NT$41.63 , NT$51.19 , NT$37.88 ,"1,007,838,000"
1999/9/1, NT$50.07 , NT$51.38 , NT$53.63 , NT$47.25 ,"660,988,000"
1999/10/1, NT$52.88 , NT$50.25 , NT$53.25 , NT$48.19 ,"427,900,000"
1999/11/1, NT$55.69 , NT$54.38 , NT$59.63 , NT$52.13 ,"529,477,000"
1999/12/1, NT$62.63 , NT$55.50 , NT$64.13 , NT$54.00 ,"491,820,000"
2000/1/1, NT$76.13 , NT$66.75 , NT$79.13 , NT$63.75 ,"755,036,000"
2000/2/1, NT$75.38 , NT$76.88 , NT$83.26 , NT$71.25 ,"368,473,000"
2000/3/1, NT$76.88 , NT$76.88 , NT$80.26 , NT$64.50 ,"652,011,000"
2000/4/1, NT$73.88 , NT$75.38 , NT$79.88 , NT$65.63 ,"505,181,000"
2000/5/1, NT$75.37 , NT$73.50 , NT$78.25 , NT$66.38 ,"562,773,000"
2000/6/1, NT$70.08 , NT$74.89 , NT$77.77 , NT$67.44 ,"390,768,000"
2000/7/1, NT$60.96 , NT$68.64 , NT$72.00 , NT$59.52 ,"489,739,000"
2000/8/1, NT$64.56 , NT$61.68 , NT$67.44 , NT$58.08 ,"427,685,000"
2000/9/1, NT$49.92 , NT$64.80 , NT$64.80 , NT$49.92 ,"521,497,000"
2000/10/1, NT$47.04 , NT$48.00 , NT$53.04 , NT$39.12 ,"1,018,199,000"
2000/11/1, NT$42.96 , NT$48.48 , NT$58.80 , NT$41.76 ,"984,045,000"
2000/12/1, NT$38.16 , NT$41.76 , NT$45.12 , NT$35.76 ,"483,068,000"
2001/1/1, NT$50.64 , NT$37.44 , NT$50.64 , NT$37.20 ,"753,094,000"
2001/2/1, NT$43.20 , NT$49.92 , NT$50.64 , NT$42.48 ,"583,309,000"
2001/3/1, NT$42.48 , NT$41.76 , NT$44.64 , NT$39.84 ,"539,630,000"
2001/4/1, NT$43.68 , NT$42.24 , NT$43.92 , NT$37.68 ,"508,866,000"
2001/5/1, NT$42.96 , NT$46.56 , NT$46.56 , NT$42.00 ,"509,964,000"
2001/6/1, NT$43.01 , NT$43.44 , NT$47.52 , NT$40.32 ,"474,611,000"
2001/7/1, NT$44.36 , NT$43.35 , NT$45.70 , NT$37.63 ,"641,881,000"
2001/8/1, NT$43.01 , NT$46.04 , NT$47.72 , NT$40.32 ,"857,420,000"
2001/9/1, NT$31.38 , NT$43.01 , NT$44.36 , NT$29.64 ,"558,564,000"
2001/10/1, NT$40.99 , NT$31.32 , NT$45.03 , NT$29.30 ,"1,009,548,000"
2001/11/1, NT$49.06 , NT$42.00 , NT$53.43 , NT$40.66 ,"1,240,479,000"
2001/12/1, NT$58.80 , NT$50.74 , NT$60.48 , NT$50.40 ,"1,228,856,000"
2002/1/1, NT$58.80 , NT$58.80 , NT$62.50 , NT$55.44 ,"1,062,601,000"
2002/2/1, NT$55.11 , NT$58.47 , NT$59.81 , NT$53.76 ,"405,911,000"
2002/3/1, NT$64.85 , NT$54.44 , NT$65.52 , NT$54.44 ,"977,532,000"
2002/4/1, NT$58.80 , NT$64.52 , NT$65.52 , NT$58.47 ,"673,951,000"
2002/5/1, NT$57.46 , NT$58.80 , NT$60.82 , NT$53.76 ,"652,764,000"
2002/6/1, NT$50.27 , NT$56.45 , NT$57.12 , NT$48.05 ,"953,154,000"
2002/7/1, NT$37.33 , NT$50.27 , NT$52.86 , NT$36.96 ,"1,361,503,000"
2002/8/1, NT$36.89 , NT$36.96 , NT$41.03 , NT$32.31 ,"1,014,366,000"
2002/9/1, NT$30.38 , NT$36.81 , NT$37.70 , NT$29.57 ,"851,254,000"
2002/10/1, NT$34.38 , NT$29.87 , NT$35.19 , NT$25.80 ,"1,814,181,000"
2002/11/1, NT$37.33 , NT$34.30 , NT$38.81 , NT$33.27 ,"1,352,587,000"
2002/12/1, NT$31.49 , NT$37.70 , NT$39.92 , NT$31.42 ,"868,981,000"
2003/1/1, NT$35.26 , NT$31.79 , NT$38.07 , NT$31.34 ,"869,858,000"
2003/2/1, NT$31.05 , NT$32.90 , NT$33.93 , NT$29.64 ,"773,461,000"
2003/3/1, NT$31.27 , NT$31.71 , NT$36.74 , NT$30.31 ,"1,086,870,000"
2003/4/1, NT$35.34 , NT$30.68 , NT$35.78 , NT$30.60 ,"1,254,833,000"
2003/5/1, NT$39.55 , NT$35.26 , NT$40.66 , NT$34.52 ,"1,045,371,000"
2003/6/1, NT$42.14 , NT$40.66 , NT$44.35 , NT$40.29 ,"998,038,000"
2003/7/1, NT$47.11 , NT$42.14 , NT$49.90 , NT$42.14 ,"1,034,391,000"
2003/8/1, NT$53.49 , NT$47.50 , NT$53.89 , NT$44.71 ,"955,157,000"
2003/9/1, NT$53.09 , NT$53.89 , NT$57.88 , NT$52.29 ,"765,402,000"
2003/10/1, NT$53.49 , NT$53.09 , NT$57.08 , NT$51.50 ,"852,344,000"
2003/11/1, NT$50.70 , NT$53.49 , NT$55.89 , NT$50.30 ,"672,876,000"
2003/12/1, NT$50.70 , NT$50.30 , NT$53.49 , NT$46.71 ,"813,320,000"
2004/1/1, NT$52.69 , NT$50.70 , NT$54.69 , NT$50.70 ,"558,023,000"
2004/2/1, NT$50.70 , NT$52.69 , NT$53.09 , NT$49.10 ,"759,783,000"
2004/3/1, NT$47.90 , NT$50.70 , NT$54.69 , NT$43.91 ,"1,625,681,000"
2004/4/1, NT$45.91 , NT$47.50 , NT$51.50 , NT$45.11 ,"1,110,964,000"
2004/5/1, NT$44.71 , NT$45.91 , NT$47.50 , NT$41.12 ,"1,025,144,000"
2004/6/1, NT$44.09 , NT$44.71 , NT$45.51 , NT$38.53 ,"1,094,025,000"
2004/7/1, NT$39.08 , NT$44.18 , NT$44.45 , NT$37.07 ,"1,093,164,000"
2004/8/1, NT$42.81 , NT$39.08 , NT$44.45 , NT$38.62 ,"948,241,000"
2004/9/1, NT$39.44 , NT$42.81 , NT$43.27 , NT$38.71 ,"930,292,000"
2004/10/1, NT$39.90 , NT$39.99 , NT$41.45 , NT$37.62 ,"872,508,000"
2004/11/1, NT$43.08 , NT$40.17 , NT$46.46 , NT$39.62 ,"1,537,119,000"
2004/12/1, NT$46.00 , NT$42.17 , NT$46.91 , NT$42.08 ,"1,054,418,000"
2005/1/1, NT$47.37 , NT$46.46 , NT$47.82 , NT$42.08 ,"938,054,000"
2005/2/1, NT$50.10 , NT$47.82 , NT$50.55 , NT$47.37 ,"871,154,000"
2005/3/1, NT$46.91 , NT$49.64 , NT$50.01 , NT$45.36 ,"865,023,000"
2005/4/1, NT$47.27 , NT$46.91 , NT$48.28 , NT$44.72 ,"749,051,000"
2005/5/1, NT$51.83 , NT$47.55 , NT$52.01 , NT$47.55 ,"909,898,000"
2005/6/1, NT$52.70 , NT$51.28 , NT$54.99 , NT$50.83 ,"1,095,768,000"
2005/7/1, NT$50.88 , NT$52.70 , NT$55.28 , NT$50.50 ,"989,776,000"
2005/8/1, NT$51.65 , NT$50.88 , NT$53.66 , NT$48.87 ,"831,865,000"
2005/9/1, NT$50.98 , NT$50.69 , NT$51.74 , NT$48.30 ,"798,022,000"
2005/10/1, NT$49.73 , NT$51.07 , NT$52.41 , NT$46.58 ,"844,792,000"
2005/11/1, NT$56.91 , NT$50.21 , NT$57.58 , NT$49.54 ,"1,098,487,000"
2005/12/1, NT$59.78 , NT$56.91 , NT$61.50 , NT$56.72 ,"2,744,856,000"
2006/1/1, NT$60.73 , NT$59.11 , NT$65.42 , NT$57.39 ,"873,027,000"
2006/2/1, NT$58.25 , NT$61.21 , NT$63.60 , NT$57.67 ,"686,520,000"
2006/3/1, NT$61.40 , NT$57.67 , NT$61.98 , NT$56.33 ,"1,008,122,000"
2006/4/1, NT$65.13 , NT$61.40 , NT$66.95 , NT$61.02 ,"796,074,000"
2006/5/1, NT$57.67 , NT$63.70 , NT$66.85 , NT$56.72 ,"1,039,455,000"
2006/6/1, NT$57.53 , NT$58.82 , NT$60.16 , NT$53.39 ,"1,134,181,000"
2006/7/1, NT$53.98 , NT$57.63 , NT$58.42 , NT$51.52 ,"846,611,000"
2006/8/1, NT$57.23 , NT$54.08 , NT$59.40 , NT$53.59 ,"808,179,000"
2006/9/1, NT$58.81 , NT$57.43 , NT$60.19 , NT$55.36 ,"744,624,000"
2006/10/1, NT$60.09 , NT$58.91 , NT$64.23 , NT$57.63 ,"785,414,000"
2006/11/1, NT$64.52 , NT$60.49 , NT$64.52 , NT$59.01 ,"894,632,000"
2006/12/1, NT$66.49 , NT$64.43 , NT$66.99 , NT$62.46 ,"707,732,000"
2007/1/1, NT$66.40 , NT$66.79 , NT$70.63 , NT$63.05 ,"1,246,850,000"
2007/2/1, NT$68.27 , NT$66.79 , NT$69.06 , NT$64.82 ,"596,046,000"
2007/3/1, NT$66.89 , NT$65.71 , NT$69.75 , NT$62.36 ,"1,934,483,000"
2007/4/1, NT$67.68 , NT$66.79 , NT$69.45 , NT$66.20 ,"749,827,000"
2007/5/1, NT$67.18 , NT$67.68 , NT$68.56 , NT$65.31 ,"1,080,117,393"
2007/6/1, NT$70.19 , NT$67.78 , NT$70.29 , NT$63.26 ,"1,536,506,828"
2007/7/1, NT$64.35 , NT$70.19 , NT$72.37 , NT$62.47 ,"1,566,033,576"
2007/8/1, NT$62.08 , NT$63.36 , NT$63.86 , NT$58.02 ,"1,530,745,468"
2007/9/1, NT$62.97 , NT$62.08 , NT$63.26 , NT$59.70 ,"743,889,281"
2007/10/1, NT$63.16 , NT$62.87 , NT$64.95 , NT$59.01 ,"1,287,033,654"
2007/11/1, NT$60.00 , NT$63.76 , NT$63.76 , NT$56.83 ,"1,441,621,102"
2007/12/1, NT$61.38 , NT$60.10 , NT$62.87 , NT$58.02 ,"1,735,968,314"
2008/1/1, NT$59.30 , NT$61.38 , NT$61.38 , NT$49.11 ,"1,534,355,327"
2008/2/1, NT$60.99 , NT$60.39 , NT$62.97 , NT$59.11 ,"884,779,927"
2008/3/1, NT$62.47 , NT$59.50 , NT$68.61 , NT$58.91 ,"1,398,676,690"
2008/4/1, NT$66.04 , NT$61.88 , NT$66.83 , NT$61.18 ,"1,082,655,829"
2008/5/1, NT$64.95 , NT$67.32 , NT$69.10 , NT$63.86 ,"1,446,189,981"
2008/6/1, NT$64.35 , NT$65.84 , NT$68.21 , NT$61.98 ,"1,478,558,503"
2008/7/1, NT$55.92 , NT$63.36 , NT$64.45 , NT$52.94 ,"1,332,847,892"
2008/8/1, NT$58.61 , NT$54.73 , NT$61.89 , NT$54.73 ,"1,539,327,784"
2008/9/1, NT$52.24 , NT$57.31 , NT$57.31 , NT$49.55 ,"1,609,310,994"
2008/10/1, NT$47.76 , NT$53.73 , NT$53.73 , NT$36.32 ,"1,475,921,892"
2008/11/1, NT$40.60 , NT$49.25 , NT$49.25 , NT$36.22 ,"1,230,277,069"
2008/12/1, NT$44.18 , NT$39.60 , NT$45.87 , NT$36.32 ,"1,289,940,558"
2009/1/1, NT$40.00 , NT$45.77 , NT$46.87 , NT$38.51 ,"761,574,420"
2009/2/1, NT$44.73 , NT$41.00 , NT$46.72 , NT$40.35 ,"1,434,713,895"
2009/3/1, NT$51.14 , NT$45.77 , NT$52.74 , NT$43.93 ,"1,580,808,798"
2009/4/1, NT$54.93 , NT$51.64 , NT$54.93 , NT$49.35 ,"1,801,014,850"
2009/5/1, NT$60.10 , NT$58.61 , NT$60.60 , NT$53.93 ,"1,765,101,894"
2009/6/1, NT$54.43 , NT$60.20 , NT$60.30 , NT$50.75 ,"1,644,924,761"
2009/7/1, NT$58.90 , NT$54.03 , NT$59.20 , NT$53.10 ,"1,495,605,037"
2009/8/1, NT$59.20 , NT$58.60 , NT$59.80 , NT$56.50 ,"998,422,669"
2009/9/1, NT$64.50 , NT$59.40 , NT$65.00 , NT$58.70 ,"1,200,872,804"
2009/10/1, NT$60.00 , NT$65.00 , NT$65.20 , NT$59.00 ,"1,492,139,217"
2009/11/1, NT$61.10 , NT$59.50 , NT$63.20 , NT$59.00 ,"1,133,939,777"
2009/12/1, NT$64.50 , NT$61.50 , NT$64.50 , NT$60.40 ,"1,038,495,258"
2010/1/1, NT$61.50 , NT$65.00 , NT$65.10 , NT$59.40 ,"1,018,778,395"
2010/2/1, NT$58.80 , NT$60.70 , NT$60.70 , NT$57.00 ,"709,611,617"
2010/3/1, NT$61.50 , NT$59.50 , NT$62.40 , NT$58.20 ,"1,132,674,886"
2010/4/1, NT$61.80 , NT$61.50 , NT$64.90 , NT$60.80 ,"1,059,833,257"
2010/5/1, NT$60.20 , NT$62.60 , NT$62.60 , NT$57.70 ,"986,920,329"
2010/6/1, NT$60.60 , NT$59.90 , NT$63.70 , NT$58.30 ,"906,871,508"
2010/7/1, NT$62.40 , NT$60.60 , NT$63.10 , NT$58.80 ,"1,074,543,627"
2010/8/1, NT$58.90 , NT$62.60 , NT$62.80 , NT$58.40 ,"989,842,612"
2010/9/1, NT$62.00 , NT$59.30 , NT$62.30 , NT$58.70 ,"1,028,026,363"
2010/10/1, NT$62.80 , NT$62.20 , NT$63.10 , NT$60.10 ,"811,235,554"
2010/11/1, NT$63.40 , NT$63.40 , NT$64.70 , NT$63.00 ,"839,469,474"
2010/12/1, NT$71.00 , NT$63.80 , NT$75.00 , NT$63.80 ,"1,496,631,849"
2011/1/1, NT$76.30 , NT$71.50 , NT$78.30 , NT$69.60 ,"1,353,616,348"
2011/2/1, NT$70.50 , NT$77.00 , NT$77.00 , NT$69.90 ,"1,033,654,452"
2011/3/1, NT$70.60 , NT$70.00 , NT$72.20 , NT$65.70 ,"1,268,289,393"
2011/4/1, NT$73.20 , NT$70.70 , NT$73.90 , NT$68.00 ,"983,177,475"
2011/5/1, NT$76.70 , NT$73.90 , NT$76.90 , NT$73.00 ,"987,256,484"
2011/6/1, NT$72.20 , NT$76.30 , NT$78.20 , NT$70.40 ,"1,295,262,736"
2011/7/1, NT$72.00 , NT$72.20 , NT$73.90 , NT$68.50 ,"1,027,567,656"
2011/8/1, NT$69.40 , NT$72.00 , NT$72.80 , NT$62.20 ,"1,270,302,342"
2011/9/1, NT$70.00 , NT$69.40 , NT$72.10 , NT$65.90 ,"1,073,997,108"
2011/10/1, NT$73.60 , NT$70.00 , NT$74.00 , NT$68.10 ,"847,821,278"
2011/11/1, NT$74.60 , NT$73.50 , NT$76.00 , NT$71.30 ,"883,753,804"
2011/12/1, NT$75.80 , NT$75.50 , NT$76.80 , NT$72.00 ,"715,808,271"
2012/1/1, NT$78.50 , NT$75.00 , NT$79.50 , NT$74.60 ,"750,142,069"
2012/2/1, NT$81.10 , NT$77.50 , NT$81.10 , NT$75.60 ,"951,457,737"
2012/3/1, NT$84.90 , NT$81.00 , NT$86.50 , NT$78.30 ,"817,930,316"
2012/4/1, NT$86.80 , NT$84.80 , NT$89.80 , NT$81.50 ,"752,132,403"
2012/5/1, NT$85.10 , NT$87.00 , NT$89.00 , NT$78.10 ,"947,974,136"
2012/6/1, NT$81.30 , NT$81.70 , NT$81.70 , NT$76.10 ,"876,352,668"
2012/7/1, NT$81.00 , NT$81.50 , NT$84.90 , NT$73.80 ,"1,154,227,493"
2012/8/1, NT$83.30 , NT$80.10 , NT$83.90 , NT$79.20 ,"744,129,328"
2012/9/1, NT$89.80 , NT$83.50 , NT$89.80 , NT$81.00 ,"744,015,493"
2012/10/1, NT$88.70 , NT$89.20 , NT$91.30 , NT$84.50 ,"798,788,914"
2012/11/1, NT$98.70 , NT$88.60 , NT$98.80 , NT$87.70 ,"843,673,987"
2012/12/1, NT$97.00 , NT$98.30 , NT$99.40 , NT$94.60 ,"687,294,242"
2013/1/1, NT$101.50 , NT$97.60 , NT$102.00 , NT$97.10 ,"770,176,271"
2013/2/1, NT$104.50 , NT$101.50 , NT$109.50 , NT$100.50 ,"464,268,532"
2013/3/1, NT$100.50 , NT$103.00 , NT$105.00 , NT$98.00 ,"837,823,608"
2013/4/1, NT$109.50 , NT$101.00 , NT$109.50 , NT$97.50 ,"747,877,114"
2013/5/1, NT$109.50 , NT$110.00 , NT$116.50 , NT$108.00 ,"629,058,507"
2013/6/1, NT$111.00 , NT$108.00 , NT$111.00 , NT$100.00 ,"729,569,698"
2013/7/1, NT$102.50 , NT$109.00 , NT$110.00 , NT$96.90 ,"1,069,354,143"
2013/8/1, NT$100.50 , NT$102.00 , NT$103.00 , NT$92.90 ,"837,812,494"
2013/9/1, NT$100.50 , NT$100.00 , NT$106.00 , NT$99.60 ,"637,827,479"
2013/10/1, NT$109.50 , NT$100.50 , NT$111.50 , NT$100.50 ,"649,183,475"
2013/11/1, NT$105.00 , NT$110.50 , NT$110.50 , NT$100.00 ,"616,375,166"
2013/12/1, NT$105.50 , NT$105.00 , NT$106.00 , NT$101.00 ,"566,914,187"
2014/1/1, NT$105.00 , NT$105.00 , NT$108.50 , NT$100.50 ,"639,684,424"
2014/2/1, NT$108.00 , NT$102.00 , NT$108.50 , NT$100.50 ,"708,923,723"
2014/3/1, NT$118.50 , NT$108.00 , NT$118.50 , NT$106.50 ,"947,475,730"
2014/4/1, NT$118.50 , NT$119.00 , NT$123.00 , NT$116.50 ,"737,569,653"
2014/5/1, NT$119.50 , NT$119.00 , NT$124.00 , NT$116.00 ,"644,308,667"
