日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/11/01,"4,851,033","590,621,617",122.00,122.15,121.25,121.75,+0.60,"9,873"
112/11/02,"10,198,429","1,264,950,789",123.15,124.50,123.15,124.50,+2.75,"9,411"
112/11/03,"9,126,443","1,142,874,376",125.00,125.60,124.70,125.45,+0.95,"10,102"
112/11/06,"16,723,502","2,122,057,421",126.55,127.20,126.35,126.55,+1.10,"18,001"
112/11/07,"6,787,466","858,536,486",126.50,126.80,126.10,126.50,-0.05,"6,880"
112/11/08,"11,598,430","1,474,341,891",126.65,127.45,126.50,127.20,+0.70,"10,111"
112/11/09,"6,557,452","833,538,185",126.90,127.40,126.65,127.25,+0.05,"6,909"
112/11/10,"4,553,684","576,769,594",126.70,126.85,126.40,126.75,-0.50,"8,757"
112/11/13,"26,195,241","3,377,923,072",129.25,129.60,128.50,128.70,+1.95,"17,363"
112/11/14,"20,924,489","2,705,445,757",129.20,129.60,128.95,129.00,+0.30,"14,287"
112/11/15,"23,631,311","3,088,480,462",130.90,131.00,130.05,130.55,+1.55,"19,145"
112/11/16,"18,984,999","2,481,132,692",130.80,131.20,130.30,130.60,+0.05,"13,230"
112/11/17,"27,988,384","3,673,563,109",130.60,131.50,130.55,131.00,+0.40,"14,272"
112/11/20,"8,981,513","1,174,727,729",131.05,131.05,130.45,130.95,-0.05,"9,185"
112/11/21,"29,656,930","3,927,372,905",131.45,132.70,131.45,132.55,+1.60,"20,483"
112/11/22,"6,466,066","850,217,906",131.25,131.80,131.15,131.35,-1.20,"8,435"
112/11/23,"6,536,128","857,653,472",131.35,131.45,130.75,131.30,-0.05,"6,940"
112/11/24,"13,467,831","1,768,269,652",131.30,131.65,131.05,131.20,-0.10,"4,898"
112/11/27,"9,897,650","1,294,524,691",131.20,131.85,130.10,130.35,-0.85,"13,117"
112/11/28,"9,871,026","1,294,408,032",130.40,131.80,130.30,131.25,+0.90,"8,229"
112/11/29,"6,856,869","901,479,551",131.30,132.20,131.05,131.15,-0.10,"6,371"
112/11/30,"11,141,866","1,461,693,142",131.30,131.50,130.65,131.35,+0.20,"7,269"
112/12/01,"5,597,363","735,215,490",131.00,131.80,130.80,131.80,+0.45,"7,516"
112/12/04,"4,696,605","616,828,082",131.80,132.00,130.90,131.30,-0.50,"8,297"
112/12/05,"5,239,029","681,967,654",130.60,130.60,129.90,130.35,-0.95,"11,762"
112/12/06,"7,348,212","961,804,130",130.40,131.40,130.40,130.80,+0.45,"6,585"
112/12/07,"3,015,451","392,931,187",130.60,130.65,130.00,130.00,-0.80,"7,413"
112/12/08,"13,264,049","1,741,413,382",131.15,131.60,130.90,131.05,+1.05,"7,072"
112/12/11,"3,510,751","459,990,205",131.05,131.35,130.65,131.20,+0.15,"9,233"
112/12/12,"5,725,775","754,266,762",131.90,132.05,131.35,131.50,+0.30,"5,918"
112/12/13,"3,169,648","417,085,408",131.60,131.80,131.40,131.55,+0.05,"5,792"
112/12/14,"32,957,343","4,385,238,569",132.65,133.45,132.50,133.15,+1.60,"16,680"
112/12/15,"18,914,190","2,533,436,503",133.65,134.20,133.65,133.70,+0.55,"13,945"
112/12/18,"7,066,751","942,681,477",133.65,133.90,132.60,133.90,+0.20,"9,533"
112/12/19,"5,870,488","781,918,732",133.80,133.80,132.75,133.40,-0.50,"8,618"
112/12/20,"6,963,954","930,578,824",133.55,133.85,133.40,133.75,+0.35,"7,452"
112/12/21,"5,619,016","743,838,778",132.20,132.70,132.05,132.60,-1.15,"7,953"
112/12/22,"6,358,269","844,967,698",132.60,133.10,132.60,132.95,+0.35,"4,882"
112/12/25,"8,406,012","1,122,521,003",133.00,133.80,132.95,133.50,+0.55,"8,464"
112/12/26,"17,326,648","2,325,240,676",133.50,134.40,133.50,134.25,+0.75,"11,845"
112/12/27,"30,857,192","4,177,189,577",134.40,135.90,134.35,135.75,+1.50,"16,671"
112/12/28,"15,353,146","2,085,248,437",135.75,136.00,135.45,135.75, 0.00,"9,803"
