日期,收盤,開盤,最高,最低,成交量
1994/9/5,4.15 ,4.15 ,4.15 ,4.15 ,"4,000"
1994/9/6,4.43 ,4.43 ,4.43 ,4.43 ,"1,000"
1994/9/7,4.74 ,4.74 ,4.74 ,4.74 ,"1,000"
1994/9/8,5.06 ,5.06 ,5.06 ,5.06 ,"2,000"
1994/9/9,5.41 ,5.41 ,5.41 ,5.41 ,"1,000"
1994/9/12,6.17 ,6.17 ,6.17 ,6.17 ,"3,855,000"
1994/9/13,6.58 ,6.58 ,6.58 ,6.58 ,"12,541,000"
1994/9/14,7.01 ,7.01 ,7.01 ,7.01 ,"10,301,000"
1994/9/15,7.49 ,7.49 ,7.49 ,7.14 ,"17,770,000"
1994/9/16,7.40 ,7.49 ,7.66 ,7.27 ,"11,219,000"
1994/9/21,7.49 ,7.40 ,7.53 ,7.27 ,"6,979,000"
1994/9/22,7.31 ,7.44 ,7.44 ,7.31 ,"3,401,000"
1994/9/23,7.57 ,7.31 ,7.61 ,7.27 ,"10,990,000"
1994/9/26,7.36 ,7.40 ,7.49 ,7.31 ,"4,347,000"
1994/9/27,7.40 ,7.40 ,7.49 ,7.36 ,"3,684,000"
1994/9/29,7.44 ,7.44 ,7.44 ,7.36 ,"2,647,000"
1994/9/30,7.40 ,7.44 ,7.53 ,7.40 ,"2,153,000"
1994/10/3,7.44 ,7.44 ,7.49 ,7.40 ,"1,560,000"
1994/10/4,7.53 ,7.44 ,7.53 ,7.40 ,"4,080,000"
1994/10/5,7.66 ,7.53 ,7.66 ,7.44 ,"9,254,000"
1994/10/6,7.23 ,7.57 ,7.61 ,7.23 ,"9,664,000"
1994/10/7,7.31 ,7.23 ,7.36 ,7.23 ,"7,008,000"
1994/10/11,6.92 ,6.84 ,6.92 ,6.66 ,"9,352,000"
1994/10/12,7.27 ,7.10 ,7.36 ,7.05 ,"6,870,000"
1994/10/13,7.27 ,7.27 ,7.36 ,7.10 ,"4,800,000"
1994/10/14,7.27 ,7.27 ,7.36 ,7.18 ,"3,415,000"
1994/10/17,7.31 ,7.36 ,7.40 ,7.31 ,"2,975,000"
1994/10/18,7.27 ,7.36 ,7.40 ,7.27 ,"1,605,000"
1994/10/19,7.14 ,7.27 ,7.31 ,7.10 ,"2,699,000"
1994/10/20,7.18 ,7.14 ,7.23 ,7.14 ,"1,287,000"
1994/10/21,7.10 ,7.18 ,7.27 ,7.10 ,"2,350,000"
1994/10/24,6.92 ,6.97 ,7.01 ,6.92 ,"1,400,000"
1994/10/26,6.88 ,6.92 ,6.92 ,6.84 ,"1,658,000"
1994/10/27,6.75 ,6.84 ,6.88 ,6.75 ,"1,458,000"
1994/10/28,6.88 ,6.75 ,6.88 ,6.75 ,"1,975,000"
1994/11/1,6.84 ,7.05 ,7.05 ,6.79 ,"2,689,000"
1994/11/2,6.88 ,6.84 ,6.92 ,6.75 ,"2,113,000"
