日期,收盤,開盤,最高,最低,成交量
1994/9/1,7.40 ,4.15 ,7.66 ,4.15 ,"89,896,000"
1994/10/1,6.88 ,7.44 ,7.66 ,6.66 ,"73,410,000"
1994/11/1,6.88 ,7.05 ,7.05 ,6.75 ,"23,246,000"
1994/12/1,6.75 ,6.88 ,7.27 ,6.66 ,"33,642,000"
1995/1/1,6.10 ,6.79 ,6.84 ,5.88 ,"27,029,000"
1995/2/1,6.71 ,6.19 ,7.01 ,6.14 ,"25,704,000"
1995/3/1,8.13 ,6.62 ,8.18 ,6.40 ,"58,693,000"
1995/4/1,7.53 ,8.09 ,8.31 ,7.27 ,"60,736,000"
1995/5/1,8.09 ,7.53 ,8.22 ,7.10 ,"62,916,000"
1995/6/1,9.77 ,8.13 ,9.81 ,7.59 ,"194,581,000"
1995/7/1,8.02 ,9.58 ,9.62 ,7.55 ,"182,556,000"
1995/8/1,8.22 ,8.02 ,8.57 ,7.32 ,"155,432,000"
1995/9/1,7.67 ,8.26 ,8.96 ,7.67 ,"88,446,000"
1995/10/1,6.54 ,7.59 ,7.71 ,6.54 ,"66,567,000"
1995/11/1,6.46 ,6.54 ,6.93 ,6.00 ,"56,648,000"
1995/12/1,6.66 ,6.50 ,6.74 ,6.31 ,"51,343,000"
1996/1/1,5.96 ,6.70 ,6.70 ,5.76 ,"51,040,000"
1996/2/1,6.04 ,6.00 ,6.43 ,5.80 ,"55,153,000"
1996/3/1,5.84 ,6.07 ,6.19 ,4.98 ,"92,009,000"
1996/4/1,8.02 ,5.84 ,8.26 ,5.80 ,"247,258,000"
1996/5/1,7.92 ,8.18 ,9.39 ,7.83 ,"309,410,000"
1996/6/1,8.06 ,7.92 ,9.18 ,7.71 ,"219,863,000"
1996/7/1,7.08 ,8.13 ,8.20 ,6.88 ,"241,116,000"
1996/8/1,7.78 ,7.15 ,7.92 ,7.08 ,"159,854,000"
1996/9/1,7.50 ,7.71 ,7.99 ,7.29 ,"220,150,000"
