日期,收盤,開盤,最高,最低,成交量
2003/6/1, NT$37.08 , NT$37.10 , NT$37.40 , NT$36.92 ,"9,918,000"
2003/7/1, NT$40.87 , NT$37.09 , NT$42.00 , NT$37.09 ,"231,508,000"
2003/8/1, NT$44.92 , NT$41.28 , NT$44.92 , NT$39.68 ,"122,147,000"
2003/9/1, NT$44.70 , NT$46.40 , NT$46.59 , NT$44.20 ,"91,099,000"
2003/10/1, NT$48.00 , NT$44.51 , NT$49.00 , NT$44.06 ,"149,549,000"
2003/11/1, NT$45.00 , NT$48.00 , NT$48.77 , NT$45.00 ,"83,109,000"
2003/12/1, NT$45.92 , NT$45.00 , NT$46.79 , NT$44.90 ,"89,779,000"
2004/1/1, NT$48.52 , NT$46.14 , NT$49.51 , NT$45.92 ,"119,429,000"
2004/2/1, NT$50.55 , NT$48.53 , NT$50.60 , NT$47.20 ,"101,878,000"
2004/3/1, NT$48.99 , NT$50.80 , NT$53.70 , NT$44.50 ,"265,313,000"
2004/4/1, NT$47.50 , NT$49.30 , NT$52.20 , NT$45.80 ,"151,471,000"
2004/5/1, NT$45.35 , NT$47.10 , NT$47.10 , NT$41.02 ,"138,184,000"
2004/6/1, NT$44.75 , NT$45.20 , NT$46.00 , NT$41.81 ,"107,781,000"
2004/7/1, NT$41.91 , NT$44.90 , NT$45.05 , NT$40.90 ,"101,856,000"
2004/8/1, NT$45.15 , NT$41.69 , NT$46.00 , NT$41.18 ,"95,247,000"
2004/9/1, NT$45.60 , NT$45.30 , NT$46.82 , NT$44.46 ,"122,422,000"
2004/10/1, NT$44.72 , NT$45.71 , NT$47.76 , NT$43.81 ,"125,336,000"
2004/11/1, NT$45.50 , NT$44.75 , NT$47.96 , NT$44.16 ,"198,436,000"
2004/12/1, NT$48.50 , NT$45.41 , NT$48.56 , NT$45.21 ,"157,207,000"
2005/1/1, NT$47.09 , NT$48.46 , NT$48.58 , NT$45.11 ,"101,905,000"
2005/2/1, NT$48.63 , NT$47.10 , NT$49.00 , NT$46.91 ,"136,557,000"
2005/3/1, NT$46.75 , NT$48.71 , NT$48.95 , NT$46.11 ,"162,399,000"
2005/4/1, NT$45.78 , NT$46.65 , NT$46.92 , NT$43.90 ,"105,021,000"
2005/5/1, NT$45.51 , NT$46.00 , NT$47.37 , NT$44.60 ,"104,139,000"
2005/6/1, NT$47.49 , NT$45.40 , NT$48.45 , NT$45.00 ,"201,177,000"
2005/7/1, NT$48.17 , NT$47.30 , NT$49.50 , NT$46.81 ,"151,313,000"
2005/8/1, NT$46.70 , NT$48.10 , NT$49.85 , NT$46.52 ,"138,538,000"
2005/9/1, NT$47.45 , NT$47.34 , NT$48.03 , NT$45.80 ,"116,685,000"
2005/10/1, NT$45.44 , NT$47.60 , NT$48.00 , NT$43.93 ,"113,676,000"
2005/11/1, NT$48.79 , NT$45.60 , NT$49.05 , NT$45.40 ,"169,686,000"
2005/12/1, NT$51.25 , NT$48.79 , NT$51.60 , NT$48.50 ,"168,149,000"
2006/1/1, NT$51.35 , NT$50.75 , NT$53.25 , NT$50.35 ,"121,715,000"
2006/2/1, NT$52.40 , NT$51.80 , NT$53.30 , NT$51.45 ,"68,423,000"
2006/3/1, NT$52.80 , NT$52.35 , NT$54.50 , NT$50.40 ,"61,000,000"
