日期,收盤,開盤,最高,最低,成交量
2003/6/30, NT$39.26 , NT$37.10 , NT$40.60 , NT$36.92 ,"69,275,000"
2003/7/7, NT$39.91 , NT$39.60 , NT$42.00 , NT$39.30 ,"57,753,000"
2003/7/14, NT$39.92 , NT$39.95 , NT$41.00 , NT$39.55 ,"44,087,000"
2003/7/21, NT$41.23 , NT$40.00 , NT$41.34 , NT$39.40 ,"43,410,000"
2003/7/28, NT$41.60 , NT$41.90 , NT$41.94 , NT$40.44 ,"30,579,000"
2003/8/4, NT$40.18 , NT$41.47 , NT$41.61 , NT$39.97 ,"22,608,000"
2003/8/11, NT$42.72 , NT$39.90 , NT$43.50 , NT$39.68 ,"39,383,000"
2003/8/18, NT$44.04 , NT$43.00 , NT$44.59 , NT$42.52 ,"24,501,000"
2003/8/25, NT$44.92 , NT$44.10 , NT$44.92 , NT$43.28 ,"31,977,000"
2003/9/1, NT$45.03 , NT$46.40 , NT$46.40 , NT$44.51 ,"19,652,000"
2003/9/8, NT$45.47 , NT$44.80 , NT$46.59 , NT$44.59 ,"20,672,000"
2003/9/15, NT$45.80 , NT$45.45 , NT$46.00 , NT$44.60 ,"19,029,000"
2003/9/22, NT$44.85 , NT$45.50 , NT$45.50 , NT$44.20 ,"25,828,000"
2003/9/29, NT$45.31 , NT$44.80 , NT$45.41 , NT$44.06 ,"21,600,000"
2003/10/6, NT$46.14 , NT$45.70 , NT$46.40 , NT$45.70 ,"24,550,000"
2003/10/13, NT$47.79 , NT$46.40 , NT$47.87 , NT$46.40 ,"36,041,000"
2003/10/20, NT$46.95 , NT$47.58 , NT$48.25 , NT$46.83 ,"23,108,000"
2003/10/27, NT$48.00 , NT$46.95 , NT$49.00 , NT$46.93 ,"50,168,000"
2003/11/3, NT$47.78 , NT$48.00 , NT$48.77 , NT$47.20 ,"25,064,000"
2003/11/10, NT$47.55 , NT$47.60 , NT$47.78 , NT$47.00 ,"12,625,000"
2003/11/17, NT$45.57 , NT$47.30 , NT$47.30 , NT$45.10 ,"31,861,000"
2003/11/24, NT$45.00 , NT$45.57 , NT$46.26 , NT$45.00 ,"13,559,000"
2003/12/1, NT$46.27 , NT$45.00 , NT$46.42 , NT$44.95 ,"21,085,000"
2003/12/8, NT$46.10 , NT$45.78 , NT$46.79 , NT$45.42 ,"15,668,000"
2003/12/15, NT$45.15 , NT$46.10 , NT$46.45 , NT$44.90 ,"31,584,000"
2003/12/22, NT$45.75 , NT$45.15 , NT$46.15 , NT$45.15 ,"9,230,000"
2003/12/29, NT$47.30 , NT$45.75 , NT$47.30 , NT$45.30 ,"28,531,000"
2004/1/5, NT$48.41 , NT$47.30 , NT$48.74 , NT$47.30 ,"34,799,000"
2004/1/12, NT$48.90 , NT$48.41 , NT$49.19 , NT$48.21 ,"29,716,000"
2004/1/27, NT$48.52 , NT$49.50 , NT$49.51 , NT$48.46 ,"38,595,000"
2004/2/2, NT$47.91 , NT$48.53 , NT$48.56 , NT$47.20 ,"26,197,000"
2004/2/9, NT$49.46 , NT$48.00 , NT$49.47 , NT$48.00 ,"31,264,000"
2004/2/16, NT$50.00 , NT$49.46 , NT$50.10 , NT$49.04 ,"20,119,000"
2004/2/23, NT$50.55 , NT$49.95 , NT$50.60 , NT$49.16 ,"24,298,000"
2004/3/1, NT$52.50 , NT$50.80 , NT$53.70 , NT$50.80 ,"78,503,000"
2004/3/8, NT$50.45 , NT$52.60 , NT$52.90 , NT$50.30 ,"57,686,000"
2004/3/15, NT$51.00 , NT$51.00 , NT$51.10 , NT$48.80 ,"54,312,000"
2004/3/22, NT$46.79 , NT$47.43 , NT$47.43 , NT$44.50 ,"53,860,000"
2004/3/29, NT$48.91 , NT$48.70 , NT$49.54 , NT$48.28 ,"27,609,000"
2004/4/5, NT$49.80 , NT$49.50 , NT$50.50 , NT$49.19 ,"14,774,000"
2004/4/12, NT$51.15 , NT$50.05 , NT$51.60 , NT$50.05 ,"46,732,000"
2004/4/19, NT$50.80 , NT$51.20 , NT$52.20 , NT$50.30 ,"37,247,000"
2004/4/26, NT$47.50 , NT$50.80 , NT$51.15 , NT$45.80 ,"46,061,000"
2004/5/3, NT$45.75 , NT$47.10 , NT$47.10 , NT$44.65 ,"38,068,000"
2004/5/10, NT$44.10 , NT$45.15 , NT$45.75 , NT$43.70 ,"21,630,000"
2004/5/17, NT$45.21 , NT$43.51 , NT$45.59 , NT$41.02 ,"55,881,000"
2004/5/24, NT$46.30 , NT$45.00 , NT$46.49 , NT$44.50 ,"19,369,000"
2004/5/31, NT$43.02 , NT$46.30 , NT$46.31 , NT$42.80 ,"24,674,000"
2004/6/7, NT$43.44 , NT$44.00 , NT$46.00 , NT$43.40 ,"24,572,000"
2004/6/14, NT$42.60 , NT$43.44 , NT$43.82 , NT$41.81 ,"31,098,000"
2004/6/21, NT$44.40 , NT$43.70 , NT$44.70 , NT$42.52 ,"16,853,000"
2004/6/28, NT$43.92 , NT$44.40 , NT$45.05 , NT$43.29 ,"20,994,000"
2004/7/5, NT$44.35 , NT$43.60 , NT$44.40 , NT$43.22 ,"19,328,000"
2004/7/12, NT$42.38 , NT$44.49 , NT$44.52 , NT$42.35 ,"22,112,000"
2004/7/19, NT$41.58 , NT$42.30 , NT$42.56 , NT$41.12 ,"30,551,000"
2004/7/26, NT$41.91 , NT$41.20 , NT$42.20 , NT$40.90 ,"22,691,000"
2004/8/2, NT$42.27 , NT$41.69 , NT$42.80 , NT$41.18 ,"23,283,000"
2004/8/9, NT$41.82 , NT$41.85 , NT$42.32 , NT$41.50 ,"13,301,000"
2004/8/16, NT$44.20 , NT$41.82 , NT$44.49 , NT$41.65 ,"26,384,000"
2004/8/23, NT$45.60 , NT$44.31 , NT$46.00 , NT$44.19 ,"19,702,000"
2004/8/30, NT$44.84 , NT$45.60 , NT$45.95 , NT$44.80 ,"25,369,000"
2004/9/6, NT$45.45 , NT$44.70 , NT$45.75 , NT$44.46 ,"21,698,000"
2004/9/13, NT$45.40 , NT$46.01 , NT$46.58 , NT$45.15 ,"39,260,000"
2004/9/20, NT$45.40 , NT$45.43 , NT$46.82 , NT$45.40 ,"38,748,000"
2004/9/27, NT$46.30 , NT$45.40 , NT$46.30 , NT$45.20 ,"16,870,000"
2004/10/4, NT$47.50 , NT$47.05 , NT$47.76 , NT$46.92 ,"54,966,000"
2004/10/11, NT$45.08 , NT$47.03 , NT$47.20 , NT$44.94 ,"29,761,000"
2004/10/18, NT$45.20 , NT$45.20 , NT$45.38 , NT$44.90 ,"16,533,000"
2004/10/26, NT$44.72 , NT$44.58 , NT$44.85 , NT$43.81 ,"17,130,000"
2004/11/1, NT$46.93 , NT$44.75 , NT$47.20 , NT$44.16 ,"39,315,000"
2004/11/8, NT$46.51 , NT$46.92 , NT$47.05 , NT$46.00 ,"41,567,000"
2004/11/15, NT$47.40 , NT$46.97 , NT$47.96 , NT$46.60 ,"74,608,000"
2004/11/22, NT$45.46 , NT$46.80 , NT$46.96 , NT$45.30 ,"25,561,000"
2004/11/29, NT$46.40 , NT$45.45 , NT$46.40 , NT$44.88 ,"39,962,000"
2004/12/6, NT$46.43 , NT$46.23 , NT$46.70 , NT$46.16 ,"16,657,000"
2004/12/13, NT$47.18 , NT$46.60 , NT$47.30 , NT$45.80 ,"48,034,000"
2004/12/20, NT$47.25 , NT$46.20 , NT$47.40 , NT$46.20 ,"20,797,000"
2004/12/27, NT$48.50 , NT$47.25 , NT$48.56 , NT$46.98 ,"49,142,000"
2005/1/3, NT$46.50 , NT$48.46 , NT$48.58 , NT$46.48 ,"31,121,000"
2005/1/10, NT$46.09 , NT$46.58 , NT$46.96 , NT$45.55 ,"25,860,000"
2005/1/17, NT$45.91 , NT$46.57 , NT$46.77 , NT$45.91 ,"12,328,000"
2005/1/24, NT$46.30 , NT$45.98 , NT$46.35 , NT$45.11 ,"21,820,000"
2005/1/31, NT$47.67 , NT$46.30 , NT$47.89 , NT$46.30 ,"45,630,000"
2005/2/14, NT$47.95 , NT$48.95 , NT$49.00 , NT$47.62 ,"49,835,000"
2005/2/21, NT$48.63 , NT$48.03 , NT$48.79 , NT$47.32 ,"51,868,000"
2005/3/1, NT$48.20 , NT$48.71 , NT$48.95 , NT$48.15 ,"33,848,000"
2005/3/7, NT$48.18 , NT$48.52 , NT$48.67 , NT$47.80 ,"46,723,000"
2005/3/14, NT$46.86 , NT$47.80 , NT$47.99 , NT$46.75 ,"23,593,000"
2005/3/21, NT$46.85 , NT$46.86 , NT$46.97 , NT$46.18 ,"31,556,000"
2005/3/28, NT$46.75 , NT$46.99 , NT$47.00 , NT$46.11 ,"32,782,000"
2005/4/4, NT$46.65 , NT$46.74 , NT$46.92 , NT$46.45 ,"12,007,000"
2005/4/11, NT$45.91 , NT$46.62 , NT$46.78 , NT$45.80 ,"31,081,000"
2005/4/18, NT$44.85 , NT$45.42 , NT$45.42 , NT$43.90 ,"40,959,000"
2005/4/25, NT$45.78 , NT$44.85 , NT$45.78 , NT$44.84 ,"14,871,000"
2005/5/3, NT$46.91 , NT$46.00 , NT$47.02 , NT$45.70 ,"22,187,000"
2005/5/9, NT$47.20 , NT$46.81 , NT$47.37 , NT$46.58 ,"24,848,000"
2005/5/16, NT$45.26 , NT$47.30 , NT$47.35 , NT$45.25 ,"33,508,000"
2005/5/23, NT$45.44 , NT$45.25 , NT$45.50 , NT$44.60 ,"14,770,000"
2005/5/30, NT$45.92 , NT$45.45 , NT$45.94 , NT$45.00 ,"18,607,000"
2005/6/6, NT$46.40 , NT$45.80 , NT$46.42 , NT$45.72 ,"43,810,000"
2005/6/13, NT$47.90 , NT$46.45 , NT$48.02 , NT$46.31 ,"58,014,000"
2005/6/20, NT$47.92 , NT$47.90 , NT$48.45 , NT$47.42 ,"62,953,000"
2005/6/27, NT$47.58 , NT$47.55 , NT$48.20 , NT$46.99 ,"31,554,000"
2005/7/4, NT$47.01 , NT$47.58 , NT$47.58 , NT$46.81 ,"13,838,000"
2005/7/11, NT$48.99 , NT$47.38 , NT$49.07 , NT$47.30 ,"60,465,000"
2005/7/19, NT$48.70 , NT$48.89 , NT$49.50 , NT$48.68 ,"40,425,000"
2005/7/25, NT$48.17 , NT$48.81 , NT$49.25 , NT$48.15 ,"31,650,000"
2005/8/1, NT$49.76 , NT$48.10 , NT$49.85 , NT$48.10 ,"37,902,000"
2005/8/8, NT$49.00 , NT$49.31 , NT$49.41 , NT$48.82 ,"23,567,000"
2005/8/15, NT$47.57 , NT$48.94 , NT$48.94 , NT$47.47 ,"27,977,000"
2005/8/22, NT$47.72 , NT$47.60 , NT$48.03 , NT$47.25 ,"15,751,000"
2005/8/29, NT$47.33 , NT$47.55 , NT$47.58 , NT$46.52 ,"35,528,000"
2005/9/5, NT$47.41 , NT$47.39 , NT$47.88 , NT$47.20 ,"17,031,000"
2005/9/12, NT$47.04 , NT$47.52 , NT$48.03 , NT$46.95 ,"25,858,000"
2005/9/19, NT$46.10 , NT$47.13 , NT$47.75 , NT$45.80 ,"44,867,000"
2005/9/26, NT$47.45 , NT$46.20 , NT$47.55 , NT$45.85 ,"26,742,000"
2005/10/3, NT$47.40 , NT$47.60 , NT$48.00 , NT$47.30 ,"17,191,000"
