日期,收盤,開盤,最高,最低,成交量
1994/9/5, NT$4.15 , NT$4.15 , NT$4.15 , NT$4.15 ,"4,000"
1994/9/6, NT$4.43 , NT$4.43 , NT$4.43 , NT$4.43 ,"1,000"
1994/9/7, NT$4.74 , NT$4.74 , NT$4.74 , NT$4.74 ,"1,000"
1994/9/8, NT$5.06 , NT$5.06 , NT$5.06 , NT$5.06 ,"2,000"
1994/9/9, NT$5.41 , NT$5.41 , NT$5.41 , NT$5.41 ,"1,000"
1994/9/12, NT$6.17 , NT$6.17 , NT$6.17 , NT$6.17 ,"3,855,000"
1994/9/13, NT$6.58 , NT$6.58 , NT$6.58 , NT$6.58 ,"12,541,000"
1994/9/14, NT$7.01 , NT$7.01 , NT$7.01 , NT$7.01 ,"10,301,000"
1994/9/15, NT$7.49 , NT$7.49 , NT$7.49 , NT$7.14 ,"17,770,000"
1994/9/16, NT$7.40 , NT$7.49 , NT$7.66 , NT$7.27 ,"11,219,000"
1994/9/21, NT$7.49 , NT$7.40 , NT$7.53 , NT$7.27 ,"6,979,000"
1994/9/22, NT$7.31 , NT$7.44 , NT$7.44 , NT$7.31 ,"3,401,000"
1994/9/23, NT$7.57 , NT$7.31 , NT$7.61 , NT$7.27 ,"10,990,000"
1994/9/26, NT$7.36 , NT$7.40 , NT$7.49 , NT$7.31 ,"4,347,000"
1994/9/27, NT$7.40 , NT$7.40 , NT$7.49 , NT$7.36 ,"3,684,000"
1994/9/29, NT$7.44 , NT$7.44 , NT$7.44 , NT$7.36 ,"2,647,000"
1994/9/30, NT$7.40 , NT$7.44 , NT$7.53 , NT$7.40 ,"2,153,000"
1994/10/3, NT$7.44 , NT$7.44 , NT$7.49 , NT$7.40 ,"1,560,000"
1994/10/4, NT$7.53 , NT$7.44 , NT$7.53 , NT$7.40 ,"4,080,000"
1994/10/5, NT$7.66 , NT$7.53 , NT$7.66 , NT$7.44 ,"9,254,000"
1994/10/6, NT$7.23 , NT$7.57 , NT$7.61 , NT$7.23 ,"9,664,000"
1994/10/7, NT$7.31 , NT$7.23 , NT$7.36 , NT$7.23 ,"7,008,000"
1994/10/11, NT$6.92 , NT$6.84 , NT$6.92 , NT$6.66 ,"9,352,000"
1994/10/12, NT$7.27 , NT$7.10 , NT$7.36 , NT$7.05 ,"6,870,000"
1994/10/13, NT$7.27 , NT$7.27 , NT$7.36 , NT$7.10 ,"4,800,000"
1994/10/14, NT$7.27 , NT$7.27 , NT$7.36 , NT$7.18 ,"3,415,000"
1994/10/17, NT$7.31 , NT$7.36 , NT$7.40 , NT$7.31 ,"2,975,000"
1994/10/18, NT$7.27 , NT$7.36 , NT$7.40 , NT$7.27 ,"1,605,000"
1994/10/19, NT$7.14 , NT$7.27 , NT$7.31 , NT$7.10 ,"2,699,000"
1994/10/20, NT$7.18 , NT$7.14 , NT$7.23 , NT$7.14 ,"1,287,000"
1994/10/21, NT$7.10 , NT$7.18 , NT$7.27 , NT$7.10 ,"2,350,000"
1994/10/24, NT$6.92 , NT$6.97 , NT$7.01 , NT$6.92 ,"1,400,000"
1994/10/26, NT$6.88 , NT$6.92 , NT$6.92 , NT$6.84 ,"1,658,000"
1994/10/27, NT$6.75 , NT$6.84 , NT$6.88 , NT$6.75 ,"1,458,000"
1994/10/28, NT$6.88 , NT$6.75 , NT$6.88 , NT$6.75 ,"1,975,000"
1994/11/1, NT$6.84 , NT$7.05 , NT$7.05 , NT$6.79 ,"2,689,000"
